term_id,term_rank,term_str,n,num,stop,p_stem,pos_max,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
88,9340,35s,1,1,0,35,CD,0.012585367129966017,0.012585367129966017,0.012585367129966017,0.012585367129966017
89,3700,36,4,1,0,36,CD,0.011260331735926483,0.03378099520777945,0.012886969470978515,0.014347992172630148
90,9333,37,1,1,0,37,CD,0.007380892001032701,0.007380892001032701,0.007380892001032701,0.007380892001032701
91,4428,38,3,1,0,38,CD,0.0059795528128846346,0.017938658438653905,0.005353263890872854,0.00743329714967586
92,9292,380,1,1,0,380,CD,0.0037663047190143405,0.007532609438028681,0.0037663047190143405,0.0037663047190143405
93,9290,3d,1,1,0,3d,CD,0.005325453722264101,0.005325453722264101,0.005325453722264101,0.005325453722264101
94,9046,3day,1,1,0,3day,CD,0.013206169992879137,0.013206169992879137,0.013206169992879137,0.013206169992879137
95,9175,3get,1,1,0,3get,CD,0.0063061582621243,0.0063061582621243,0.0063061582621243,0.0063061582621243
96,9065,3p,1,1,0,3p,CD,0.01829177582864626,0.01829177582864626,0.01829177582864626,0.01829177582864626
97,4986,3s,2,1,0,3s,CD,0.016136854292668756,0.016136854292668756,0.016136854292668756,0.016136854292668756
98,2163,4,8,1,0,4,CD,0.004148827126903919,0.03319061701523135,0.003946875769850822,0.006244299453884112
99,2568,40,6,1,0,40,CD,0.005589169995296114,0.033535019971776686,0.004920649980040432,0.009804636461666988
100,9047,4040,1,1,0,4040,CD,0.004341454700735742,0.008682909401471484,0.004341454700735742,0.004341454700735742
101,4421,40s,3,1,0,40,CD,0.01583092462096681,0.03166184924193362,0.01583092462096681,0.02194145985683043
102,9054,41millimeter,1,1,0,41millimet,CD,0.006374406728164605,0.006374406728164605,0.006374406728164605,0.006374406728164605
103,4988,42,2,1,0,42,CD,0.003696328229718678,0.011088984689156034,0.0036833651547647545,0.003722254379626524
104,9049,4200,1,1,0,4200,CD,0.0067545319000276325,0.0067545319000276325,0.0067545319000276325,0.0067545319000276325
105,9075,430,1,1,0,430,CD,0.004696931273384446,0.004696931273384446,0.004696931273384446,0.004696931273384446
106,4415,45,3,1,0,45,CD,0.00836159800444988,0.025084794013349638,0.006546033564170784,0.013197083709584948
107,9151,458,1,1,0,458,CD,0.003086976843199212,0.003086976843199212,0.003086976843199212,0.003086976843199212
108,9150,488,1,1,0,488,CD,0.005335101283355159,0.005335101283355159,0.005335101283355159,0.005335101283355159
109,4970,4hunnid,2,1,0,4hunnid,CD,0.0063556392133367,0.0127112784266734,0.0063556392133367,0.0063556392133367
110,9104,4k,1,1,0,4k,CD,0.006148175174137886,0.006148175174137886,0.006148175174137886,0.006148175174137886
111,9002,4l,1,1,0,4l,CD,0.003968970226970415,0.003968970226970415,0.003968970226970415,0.003968970226970415
112,8184,4th,1,1,0,4th,CD,0.010225610793097388,0.010225610793097388,0.010225610793097388,0.010225610793097388
113,8172,4x4,1,1,0,4x4,CD,0.0030266967198479423,0.0030266967198479423,0.0030266967198479423,0.0030266967198479423
114,1125,5,19,1,0,5,CD,0.0076469137730044495,0.09940987904905785,0.0068322110302433256,0.01752184264215513
115,2136,50,8,1,0,50,CD,0.00555197121244778,0.03331182727468668,0.005078072364732386,0.007711119779460513
116,4450,500,3,1,0,500,CD,0.009509506155045122,0.019019012310090243,0.009509506155045122,0.013699201620456306
117,4965,50000,2,1,0,50000,CD,0.014226936755613756,0.014226936755613756,0.014226936755613756,0.014226936755613756
118,8209,5050,1,1,0,5050,CD,0.004341454700735742,0.008682909401471484,0.004341454700735742,0.004341454700735742
119,8195,50k,1,1,0,50k,CD,0.009849417753886447,0.009849417753886447,0.009849417753886447,0.009849417753886447
120,8145,50pointer,1,1,0,50pointer,CD,0.005797196670102456,0.005797196670102456,0.005797196670102456,0.005797196670102456
121,8137,50s,1,1,0,50,NNS,0.01082711731033841,0.01082711731033841,0.01082711731033841,0.01082711731033841
122,8158,56,1,1,0,56,CD,0.007629471265316186,0.007629471265316186,0.007629471265316186,0.007629471265316186
123,7996,560,1,1,0,560,CD,0.0045377132641171766,0.0045377132641171766,0.0045377132641171766,0.0045377132641171766
124,7966,57,1,1,0,57,CD,0.007629471265316186,0.007629471265316186,0.007629471265316186,0.007629471265316186
125,7961,59,1,1,0,59,CD,0.003890324845986853,0.003890324845986853,0.003890324845986853,0.003890324845986853
126,7960,5o,1,1,0,5o,CD,0.004696931273384446,0.004696931273384446,0.004696931273384446,0.004696931273384446
127,7983,5th,1,1,0,5th,JJ,0.01082711731033841,0.01082711731033841,0.01082711731033841,0.01082711731033841
128,1299,6,16,1,0,6,CD,0.005594989480659722,0.06713987376791666,0.0037298306034053625,0.02120221207232299
129,7981,60s,1,1,0,60,CD,0.01082711731033841,0.01082711731033841,0.01082711731033841,0.01082711731033841
130,8102,63s,1,1,0,63,CD,0.004608725991255161,0.004608725991255161,0.004608725991255161,0.004608725991255161
131,3729,64,4,1,0,64,CD,0.010641995830994216,0.02128399166198843,0.010641995830994216,0.011990684411555859
132,8123,645,1,1,0,645,CD,0.01566476547027685,0.01566476547027685,0.01566476547027685,0.01566476547027685
133,5223,65,2,1,0,65,CD,0.005390985493028462,0.010781970986056924,0.005390985493028462,0.005451434871645499
134,8047,679,1,1,0,679,CD,0.006388234074646525,0.006388234074646525,0.006388234074646525,0.006388234074646525
135,5187,68,2,1,0,68,CD,0.0057523101700435305,0.011504620340087061,0.0057523101700435305,0.008011957311357778
136,5196,69,2,1,0,69,CD,0.005232852245668767,0.010465704491337534,0.005232852245668767,0.005810870137907839
137,3684,7,4,1,0,7,CD,0.006077443464342486,0.024309773857369946,0.006272554704672131,0.008550788018555057
138,8522,70,1,1,0,70,CD,0.005103944381996616,0.005103944381996616,0.005103944381996616,0.005103944381996616
139,8562,700,1,1,0,700,CD,0.008366408830716045,0.008366408830716045,0.008366408830716045,0.008366408830716045
140,8520,70s,1,1,0,70,CD,0.01082711731033841,0.01082711731033841,0.01082711731033841,0.01082711731033841
141,8478,711,1,1,0,711,CD,0.006022445620474536,0.006022445620474536,0.006022445620474536,0.006022445620474536
142,8504,713,1,1,0,713,CD,0.007182868069297677,0.007182868069297677,0.007182868069297677,0.007182868069297677
143,8501,720s,1,1,0,720,CD,0.008342707955841496,0.008342707955841496,0.008342707955841496,0.008342707955841496
144,8607,730,1,1,0,730,CD,0.007182868069297677,0.007182868069297677,0.007182868069297677,0.007182868069297677
145,5201,737,2,1,0,737,CD,0.023942893564325593,0.023942893564325593,0.023942893564325593,0.023942893564325593
146,5261,75,2,1,0,75,CD,0.009703370521533309,0.019406741043066618,0.009703370521533309,0.009792392269437285
147,8314,750,1,1,0,750,CD,0.008342707955841496,0.008342707955841496,0.008342707955841496,0.008342707955841496
148,5265,7500,2,1,0,7500,CD,0.012169321935586975,0.012169321935586975,0.012169321935586975,0.012169321935586975
149,8390,767,1,1,0,767,CD,0.004006769943417751,0.004006769943417751,0.004006769943417751,0.004006769943417751
150,8468,7a,1,1,0,7a,CD,0.011971446782162797,0.011971446782162797,0.011971446782162797,0.011971446782162797
151,2535,8,6,1,0,8,CD,0.005166169235961365,0.03099701541576819,0.004320153652713545,0.010367582095829685
152,3595,80,4,1,0,80,CD,0.009760274253135186,0.029280822759405557,0.008813766620329948,0.01180791700331285
153,4392,808,3,1,0,808,CD,0.00796907269629315,0.02390721808887945,0.007809666625608815,0.010501509164648449
154,2534,80s,6,1,0,80,CD,0.006461675959503011,0.038770055757018064,0.005845241281991055,0.01003159563902039
155,8414,81,1,1,0,81,CD,0.0036812198855150596,0.0036812198855150596,0.0036812198855150596,0.0036812198855150596
156,8420,8616,1,1,0,8616,CD,0.006603084996439568,0.006603084996439568,0.006603084996439568,0.006603084996439568
157,8421,88,1,1,0,88,CD,0.0072180782068922734,0.0072180782068922734,0.0072180782068922734,0.0072180782068922734
158,8425,8am,1,1,0,8am,CD,0.00555655831775858,0.00555655831775858,0.00555655831775858,0.00555655831775858
159,8426,8bit,1,1,0,8bit,CD,0.009319544013962176,0.009319544013962176,0.009319544013962176,0.009319544013962176
160,8427,8shit,1,1,0,8shit,CD,0.009319544013962176,0.009319544013962176,0.009319544013962176,0.009319544013962176
161,8423,8th,1,1,0,8th,CD,0.0045377132641171766,0.0045377132641171766,0.0045377132641171766,0.0045377132641171766
162,1690,9,11,1,0,9,CD,0.005461703946426196,0.04915533551783577,0.005454064106774584,0.007428109697659414
163,3600,90,4,1,0,90,CD,0.015134595907893823,0.030269191815787647,0.015134595907893823,0.02054880243068446
164,8410,901,1,1,0,901,CD,0.008366408830716045,0.008366408830716045,0.008366408830716045,0.008366408830716045
165,8393,90s,1,1,0,90,CD,0.006995192181501301,0.006995192181501301,0.006995192181501301,0.006995192181501301
166,4524,911,3,1,0,911,CD,0.006990240441688694,0.020970721325066083,0.006546033564170784,0.00914020242108291
167,8399,92,1,1,0,92,CD,0.014507270484788412,0.014507270484788412,0.014507270484788412,0.014507270484788412
168,8400,934,1,1,0,934,CD,0.006603084996439568,0.006603084996439568,0.006603084996439568,0.006603084996439568
169,5195,94,2,1,0,94,CD,0.011452795190869272,0.022905590381738544,0.011452795190869272,0.013628587179113747
170,8408,95,1,1,0,95,CD,0.0037663047190143405,0.007532609438028681,0.0037663047190143405,0.0037663047190143405
171,5116,96,2,1,0,96,CD,0.004934858905263237,0.009869717810526474,0.004934858905263237,0.005214883457096779
172,5117,97,2,1,0,97,CD,0.005310862907227395,0.01062172581445479,0.005310862907227395,0.005406842357358011
173,8461,98,1,1,0,98,CD,0.008560976477942,0.008560976477942,0.008560976477942,0.008560976477942
174,5119,99,2,1,0,99,CD,0.011101094362379457,0.022202188724758914,0.011101094362379457,0.015737773290167064
175,8469,999,1,1,0,999,CD,0.011594393340204913,0.011594393340204913,0.011594393340204913,0.011594393340204913
176,5,a,5126,0,1,a,DT,0.0007886574641170526,0.6340806011501103,0.0006842893096758523,0.0038495018176172937
177,4513,a1,3,0,0,a1,NN,0.004576840222205607,0.01373052066661682,0.004344814531148566,0.005353263890872854
178,2012,aa,9,0,0,aa,NN,0.029553013368210097,0.059106026736420195,0.029553013368210097,0.05610495305566189
179,8471,aaaaaaaaaalcohol,1,0,0,aaaaaaaaaalcohol,NN,0.0065010505704460216,0.0065010505704460216,0.0065010505704460216,0.0065010505704460216
180,5126,aaaaaalcohol,2,0,0,aaaaaalcohol,NN,0.013002101140892043,0.013002101140892043,0.013002101140892043,0.013002101140892043
181,1140,aaaall,19,0,0,aaaall,NN,0.0767552020025088,0.0767552020025088,0.0767552020025088,0.0767552020025088
182,8455,aaare,1,0,0,aaar,VBP,0.011414635303922666,0.011414635303922666,0.011414635303922666,0.011414635303922666
183,8439,aagh,1,0,0,aagh,NN,0.003086976843199212,0.003086976843199212,0.003086976843199212,0.003086976843199212
184,1900,aah,10,0,0,aah,NN,0.028106504104439513,0.08431951231331854,0.032386544011711094,0.03365256345944162
185,5130,aaint,2,0,0,aaint,VBZ,0.020171067865835942,0.020171067865835942,0.020171067865835942,0.020171067865835942
186,8435,aaliyah,1,0,0,aaliyah,NN,0.007474558143177786,0.007474558143177786,0.007474558143177786,0.007474558143177786
187,8444,aall,1,0,0,aall,NN,0.00937890416691735,0.00937890416691735,0.00937890416691735,0.00937890416691735
188,8447,aalright,1,0,0,aalright,NN,0.008978585086622097,0.008978585086622097,0.008978585086622097,0.008978585086622097
189,5114,aap,2,0,0,aap,NN,0.005447690754288599,0.010895381508577199,0.005447690754288599,0.005810870137907839
190,8449,aask,1,0,0,aask,NN,0.004608725991255161,0.004608725991255161,0.004608725991255161,0.004608725991255161
191,8451,ab,1,0,0,ab,NN,0.004375892880255643,0.004375892880255643,0.004375892880255643,0.004375892880255643
192,5111,abandoned,2,0,0,abandon,VBD,0.007873675985707441,0.015747351971414882,0.007873675985707441,0.012184082547226114
193,8453,abbey,1,0,0,abbey,NN,0.011459050227284233,0.011459050227284233,0.011459050227284233,0.011459050227284233
194,8412,abbott,1,0,0,abbott,NN,0.010155089339351888,0.010155089339351888,0.010155089339351888,0.010155089339351888
195,8327,abdomen,1,0,0,abdomen,NNS,0.005203137647371109,0.005203137647371109,0.005203137647371109,0.005203137647371109
196,8333,abduction,1,0,0,abduct,NN,0.019123220184493816,0.019123220184493816,0.019123220184493816,0.019123220184493816
197,8336,ablaze,1,0,0,ablaz,JJ,0.00937890416691735,0.00937890416691735,0.00937890416691735,0.00937890416691735
198,2986,able,5,0,0,abl,JJ,0.008034448536711387,0.04017224268355693,0.007363953783855833,0.00931952657292958
199,8340,abnormal,1,0,0,abnorm,IN,0.004375892880255643,0.004375892880255643,0.004375892880255643,0.004375892880255643
200,8341,abomination,1,0,0,abomin,NN,0.004523772516761978,0.004523772516761978,0.004523772516761978,0.004523772516761978
201,5097,abort,2,0,0,abort,NN,0.005610392063013248,0.011220784126026496,0.005610392063013248,0.0070505224339948444
202,112,about,388,0,1,about,IN,0.0031139396169859754,0.7473455080766341,0.002204213533191508,0.035703513412096904
203,1223,above,17,0,1,abov,IN,0.007109014330584581,0.1137442292893533,0.006486856014493067,0.018922347019088296
204,8343,abreakin,1,0,0,abreakin,VB,0.015258942530632372,0.015258942530632372,0.015258942530632372,0.015258942530632372
205,5098,abroad,2,0,0,abroad,RB,0.00584330988203139,0.01168661976406278,0.00584330988203139,0.008288231701404598
206,8307,abrupt,1,0,0,abrupt,IN,0.00604717845669825,0.00604717845669825,0.00604717845669825,0.00604717845669825
207,8308,absentness,1,0,0,absent,VB,0.004523772516761978,0.004523772516761978,0.004523772516761978,0.004523772516761978
208,8309,absolute,1,0,0,absolut,NN,0.004006769943417751,0.004006769943417751,0.004006769943417751,0.004006769943417751
209,8311,absolutely,1,0,0,absolut,RB,0.010120192125127311,0.010120192125127311,0.010120192125127311,0.010120192125127311
210,8315,absurd,1,0,0,absurd,JJ,0.005630929079181736,0.005630929079181736,0.005630929079181736,0.005630929079181736
211,8316,abundance,1,0,0,abund,NN,0.004645072410744555,0.004645072410744555,0.004645072410744555,0.004645072410744555
212,8317,abuse,1,0,0,abus,NN,0.011548925131027638,0.011548925131027638,0.011548925131027638,0.011548925131027638
213,8319,abused,1,0,0,abus,JJ,0.005937451428250096,0.005937451428250096,0.005937451428250096,0.005937451428250096
214,8370,abusin,1,0,0,abusin,IN,0.004999959097473765,0.004999959097473765,0.004999959097473765,0.004999959097473765
215,2516,ac,6,0,0,ac,NN,0.005960077430518028,0.0417205420136262,0.004894820206055458,0.011350691180528602
216,8373,academy,1,0,0,academi,NN,0.01924820855171273,0.01924820855171273,0.01924820855171273,0.01924820855171273
217,8376,acapella,1,0,0,acapella,NN,0.008951294554443915,0.008951294554443915,0.008951294554443915,0.008951294554443915
218,8369,acarry,1,0,0,acarri,NN,0.007399436955809165,0.007399436955809165,0.007399436955809165,0.007399436955809165
219,8381,accent,1,0,0,accent,NN,0.007011847400981067,0.007011847400981067,0.007011847400981067,0.007011847400981067
220,8385,accents,1,0,0,accent,NNS,0.004305520333935742,0.004305520333935742,0.004305520333935742,0.004305520333935742
221,5100,accept,2,0,0,accept,IN,0.015121515220278416,0.03024303044055683,0.015121515220278416,0.023192508006561988
222,8379,acceptance,1,0,0,accept,NN,0.005961489693141797,0.005961489693141797,0.005961489693141797,0.005961489693141797
223,8367,accidentally,1,0,0,accident,RB,0.003569667767772179,0.003569667767772179,0.003569667767772179,0.003569667767772179
224,8348,accomplishments,1,0,0,accomplish,NNS,0.00567432737651647,0.00567432737651647,0.00567432737651647,0.00567432737651647
225,1284,account,16,0,0,account,NN,0.006195164569982116,0.05575648112983904,0.007178125236680492,0.00822617107013522
226,5107,accountant,2,0,0,account,JJ,0.005730766444381084,0.011461532888762168,0.005730766444381084,0.006163044085659829
227,8354,accountants,1,0,0,account,NNS,0.0054943580380821784,0.0054943580380821784,0.0054943580380821784,0.0054943580380821784
228,3615,accounts,4,0,0,account,NNS,0.00350081048296511,0.01400324193186044,0.003369820679866121,0.004371111785604637
229,8358,accumulatin,1,0,0,accumulatin,NN,0.007629471265316186,0.007629471265316186,0.007629471265316186,0.007629471265316186
230,8359,accurate,1,0,0,accur,NN,0.005443578388931696,0.005443578388931696,0.005443578388931696,0.005443578388931696
231,8361,accusing,1,0,0,accus,VBG,0.00755122027797961,0.00755122027797961,0.00755122027797961,0.00755122027797961
232,8362,accustomed,1,0,0,accustom,JJ,0.0055670622087184264,0.0055670622087184264,0.0055670622087184264,0.0055670622087184264
233,2180,ace,8,0,0,ace,NN,0.003799275117864055,0.034193476060776495,0.0029935840586055988,0.009131804582443684
234,5162,aces,2,0,0,ace,NNS,0.0277827915887929,0.0277827915887929,0.0277827915887929,0.0277827915887929
235,2934,ache,5,0,0,ach,NN,0.011615462566193042,0.034846387698579125,0.016129768978381604,0.016129768978381604
236,8521,achilles,1,0,0,achil,NNS,0.02181463635860776,0.02181463635860776,0.02181463635860776,0.02181463635860776
237,8589,aching,1,0,0,ach,VBG,0.01829177582864626,0.01829177582864626,0.01829177582864626,0.01829177582864626
238,5168,achoo,2,0,0,achoo,JJ,0.008732442192322356,0.017464884384644712,0.008732442192322356,0.011803329967625297
239,8592,acquired,1,0,0,acquir,VBD,0.004991484590528894,0.004991484590528894,0.004991484590528894,0.004991484590528894
240,8594,acres,1,0,0,acr,NNS,0.006374406728164605,0.006374406728164605,0.006374406728164605,0.006374406728164605
241,8600,acrobat,1,0,0,acrobat,NN,0.01722208133574297,0.01722208133574297,0.01722208133574297,0.01722208133574297
242,1118,across,19,0,0,across,IN,0.0057551970609091025,0.11510394121818206,0.005950791437938221,0.01182694901257602
243,8603,acrylic,1,0,0,acryl,NN,0.005203137647371109,0.005203137647371109,0.005203137647371109,0.005203137647371109
244,511,act,57,0,0,act,NN,0.003940132128107744,0.20094673853349493,0.0028577499591549917,0.013903435194540577
245,5171,actavis,2,0,0,actavi,JJ,0.005937953878150648,0.011875907756301296,0.005937953878150648,0.007987752002260021
246,846,actin,29,0,0,actin,VBP,0.004795886883959852,0.12469305898295614,0.004532187352805084,0.016020969219279896
